paper_item,file,status,notes
Table 1,table1_navigation_main.csv,included,"n=4,8,20 only"
Table 2,table2_n4_baselines.csv,included,"n=4 baseline comparison"
Table 2b,table2b_n8_baselines.csv,included,"n=8 baseline comparison"
Scal-MAPPO-L n=20 table,table_scal_mappo_l_n20.csv,included,"Aligned reproduction comparison"
Table 3,table3_n4_communication.csv,included,"n=4 communication range"
Communication trade-off table,table_comm_tradeoff_n20.csv,included,"n=20 fixed-filter communication sweep"
Communication trade-off JSON,tradeoff_summary.json,included,"Processed JSON summary"
Figure communication trade-off,../figures/tradeoff_v2_pareto.png,included,"Rendered figure copied from paper directory"
Table 4,table4_ablation_n4.csv,included,"n=4 ablation"
Controlled fixed-filter table,table_controlled_filter_value.csv,included,"n=8 and n=20 fixed-filter comparison"
Controlled fixed-filter JSON,value_summary.json,included,"Processed JSON summary"
Figure training curves,../figures/fig1_clean.png,included,"Rendered figure copied from paper directory"
Warehouse stress-test table,table_warehouse_stress_test.csv,included,"n=10 warehouse stress test"
Warehouse communication figure,figure_warehouse_comm_tradeoff.csv,included,"Underlying points for warehouse_comm_tradeoff.pdf"
Warehouse communication PDF,../figures/warehouse_comm_tradeoff.pdf,included,"Rendered figure copied from paper directory"
Residual audit summary,residual_audit_summary.csv,included,"Main-text residual audit values plus full residual table"
Controlled comparison statistics,controlled_filter_stats_n20.csv,included,"Supplementary statistics referenced from main text"
Averaged-dual drift diagnostics,dual_drift_diagnostics.csv,included,"Supplementary diagnostic referenced from main text"
Controller timing,controller_timing_n20.csv,included,"Supplementary timing table"
